longitude,latitude,id,group,type,name
-73.9190111,40.7039682,5627868643,2303,cafe,VEX El Cafe
-73.9185229,40.704028,5627875085,2302,fast_food,Dunkin' Donuts
-73.9183322,40.7038479,5627875250,2302,fast_food,Bakhter Halal Food Cart
-74.0027107,40.7229387,5628809025,2501,supermarket,
-73.9168727,40.6885416,5629115420,2303,cafe,The Platform
-73.9179245,40.6873451,5629128676,2302,fast_food,Little Caesars
-73.9145512,40.6853932,5629688196,2302,fast_food,Checkers
-77.6029387,43.2077508,5632802131,2501,supermarket,Wegmans
-73.9210621,40.7073539,5633560565,2516,butcher,El Pollo Mas Bueno
-73.919257,40.7118521,5634165227,2303,cafe,In Between Cafe
-73.9168248,40.7029896,5635888123,2516,butcher,183 Wycoff Meat Corporation
-73.9738683,40.7436155,5638294523,2302,fast_food,Panini Cafe
-74.0019536,40.7170952,5640186355,2302,fast_food,Cafe Lafayette
-74.0036284,40.7140838,5640199665,2302,fast_food,Corte Cafe
-73.9115989,40.7034588,5640361973,2302,fast_food,Atlixco Grocery Deli
-73.9797556,40.7355352,5640736950,2303,cafe,Tal Bagels
-73.9503988,40.777498,5640741631,2303,cafe,Tal Bagels
-73.9544897,40.7744439,5640748792,2303,cafe,H&H Midtown Bagels East
-73.9726071,40.7861849,5640753251,2303,cafe,H&H Midtown Bagels East
-73.9043724,40.7206881,5642349667,2302,fast_food,888 Kitchen
-74.0011009,40.7257638,5642382126,2303,cafe,Chobani SoHo
-73.9902548,40.6721397,5642678605,2302,fast_food,Michael & Ping's
-73.9246166,40.7022147,5643047346,2528,greengrocer,La Orquidea
-75.888345,42.1078494,5644781351,2302,fast_food,KFC
-75.881736,42.1041769,5644781368,2302,fast_food,
-75.8810622,42.1047357,5644781395,2302,fast_food,Taco Bell
-75.8797876,42.1047866,5644781400,2302,fast_food,
-76.1715742,43.0920399,5645773400,2302,fast_food,McDonald's
-73.8305175,40.8505988,5647479951,2501,supermarket,Key Foods
-73.999389,40.7238422,5648049924,2303,cafe,Georgetown Cupcakes
-73.9306225,42.8697936,5648414923,2501,supermarket,Hannaford
-73.9306332,42.8739373,5648414979,2302,fast_food,Subway
-73.9312233,42.870918,5648414991,2302,fast_food,Dunkin' Donuts
-73.9307834,42.8666797,5648414995,2303,cafe,Starbucks
-73.9300967,42.8683546,5648415028,2302,fast_food,Panera Bread
-73.9284198,42.8731794,5648415050,2501,supermarket,Market32
-73.9430148,40.7910824,5649452021,2501,supermarket,City Fresh Market
-78.6871222,43.1713644,5649996590,2303,cafe,Pulp 716
-77.4973957,43.1923764,5650117973,2501,supermarket,Walmart Supercenter
-73.989679,42.2966528,5651985042,2302,fast_food,McDonald's
-73.7348349,40.6649323,5652843763,2302,fast_food,Popeyes
